Reporting Area,MMWR Year,MMWR Week,"Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†","Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, flag","Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Max†","Chlamydia trachomatis infection, Previous 52 weeks Max†, flag","Chlamydia trachomatis infection, Cum 2019†","Chlamydia trachomatis infection, Cum 2019†, flag","Chlamydia trachomatis infection, Cum 2018†","Chlamydia trachomatis infection, Cum 2018†, flag","Chancroid, Current week","Chancroid, Current week, flag","Chancroid, Previous 52 weeks Max†","Chancroid, Previous 52 weeks Max†, flag","Chancroid, Cum 2019†","Chancroid, Cum 2019†, flag","Chancroid, Cum 2018†","Chancroid, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
US RESIDENTS,2019,15,,NP,,NC,,NP,,NN,9459,,36187,,374989,,495673,,,-,1,,1,,3,,,US RESIDENTS,20191501
NEW ENGLAND,2019,15,,NP,,NC,,NP,,NN,126,,1052,,10960,,12580,,,-,0,,,-,,-,,NEW ENGLAND,20191502
CONNECTICUT,2019,15,,NP,,NC,,NP,,NN,,U,,NC,,U,,U,,U,,NC,,U,,U,"CONNECTICUT
(41.575155, -72.738288)",,20191503
MAINE,2019,15,,NP,,NC,,NP,,NN,,-,124,,1127,,1333,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191504
MASSACHUSETTS,2019,15,,NP,,NC,,NP,,NN,,-,701,,7941,,8576,,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191505
NEW HAMPSHIRE,2019,15,,NP,,NC,,NP,,NN,61,,107,,1057,,1229,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191506
RHODE ISLAND,2019,15,,NP,,NC,,NP,,NN,65,,529,,623,,906,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191507
VERMONT,2019,15,,NP,,NC,,NP,,NN,,-,50,,212,,536,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191508
MIDDLE ATLANTIC,2019,15,,NP,,NC,,NP,,NN,2716,,4830,,61195,,59333,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191509
NEW JERSEY,2019,15,,NP,,NC,,NP,,NN,480,,950,,10494,,10246,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191510
NEW YORK,2019,15,,NP,,NC,,NP,,NN,1100,,1686,,13181,,12777,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191511
NEW YORK CITY,2019,15,,NP,,NC,,NP,,NN,138,,1690,,20524,,20757,,,-,0,,,-,,-,,NEW YORK CITY,20191512
PENNSYLVANIA,2019,15,,NP,,NC,,NP,,NN,998,,1370,,16996,,15553,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191513
EAST NORTH CENTRAL,2019,15,,NP,,NC,,NP,,NN,1503,,5585,,56801,,71544,,,-,1,,1,,,-,,EAST NORTH CENTRAL,20191514
ILLINOIS,2019,15,,NP,,NC,,NP,,NN,84,,1659,,10152,,21701,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191515
INDIANA,2019,15,,NP,,NC,,NP,,NN,,-,983,,7595,,9542,,,-,1,,1,,,-,"INDIANA
(39.919991, -86.2818)",,20191516
MICHIGAN,2019,15,,NP,,NC,,NP,,NN,346,,1273,,12897,,14422,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191517
OHIO,2019,15,,NP,,NC,,NP,,NN,696,,1478,,18133,,17979,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191518
GUAM,2019,1,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
NON-US RESIDENTS,2019,1,,NP,,NC,,NP,,NN,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
WISCONSIN,2019,15,,NP,,NC,,NP,,NN,377,,640,,8024,,7900,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191519
WEST NORTH CENTRAL,2019,15,,NP,,NC,,NP,,NN,772,,2313,,24143,,29409,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20191520
IOWA,2019,15,,NP,,NC,,NP,,NN,38,,342,,3837,,4230,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191521
KANSAS,2019,15,,NP,,NC,,NP,,NN,166,,344,,4003,,3941,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191522
MINNESOTA,2019,15,,NP,,NC,,NP,,NN,7,,561,,3857,,6713,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191523
MISSOURI,2019,15,,NP,,NC,,NP,,NN,559,,846,,9848,,9843,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191524
NEBRASKA,2019,15,,NP,,NC,,NP,,NN,,-,253,,1113,,2442,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191525
NORTH DAKOTA,2019,15,,NP,,NC,,NP,,NN,1,,81,,425,,979,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191526
NORTHERN MARIANA ISLANDS,2019,1,,NP,,NC,,NP,,NN,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
SOUTH DAKOTA,2019,15,,NP,,NC,,NP,,NN,1,,108,,1060,,1261,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191527
SOUTH ATLANTIC,2019,15,,NP,,NC,,NP,,NN,1314,,8191,,75116,,112273,,,-,1,,,-,1,,,SOUTH ATLANTIC,20191528
DELAWARE,2019,15,,NP,,NC,,NP,,NN,,-,301,,1695,,1514,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191529
DISTRICT OF COLUMBIA,2019,15,,NP,,NC,,NP,,NN,,-,264,,,-,2636,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191530
FLORIDA,2019,15,,NP,,NC,,NP,,NN,,-,2491,,27085,,28845,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20191531
GEORGIA,2019,15,,NP,,NC,,NP,,NN,367,,1527,,12519,,19446,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191532
MARYLAND,2019,15,,NP,,NC,,NP,,NN,88,,781,,5977,,10359,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191533
CONNECTICUT,2019,1,,NP,,NC,,NP,,NN,,U,,NC,,U,,U,,U,,NC,,U,,U,"CONNECTICUT
(41.575155, -72.738288)",,20190103
NORTH CAROLINA,2019,15,,NP,,NC,,NP,,NN,2,,1482,,12910,,18994,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191534
SOUTH CAROLINA,2019,15,,NP,,NC,,NP,,NN,,-,1524,,,-,17213,,,-,1,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191535
VIRGINIA,2019,15,,NP,,NC,,NP,,NN,853,,1258,,13757,,12202,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191536
WEST VIRGINIA,2019,15,,NP,,NC,,NP,,NN,4,,251,,1173,,1064,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191537
EAST SOUTH CENTRAL,2019,15,,NP,,NC,,NP,,NN,574,,4828,,23376,,26957,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191538
ALABAMA,2019,15,,NP,,NC,,NP,,NN,574,,952,,9133,,8038,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191539
KENTUCKY,2019,15,,NP,,NC,,NP,,NN,,-,3699,,,-,1571,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191540
AMERICAN SAMOA,2019,1,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
MISSISSIPPI,2019,15,,NP,,NC,,NP,,NN,,-,554,,4527,,6383,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191541
TENNESSEE,2019,15,,NP,,NC,,NP,,NN,,-,962,,9716,,10965,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191542
WEST SOUTH CENTRAL,2019,15,,NP,,NC,,NP,,NN,51,,4801,,13478,,64889,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20191543
ARKANSAS,2019,15,,NP,,NC,,NP,,NN,,-,419,,1273,,5109,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191544
LOUISIANA,2019,15,,NP,,NC,,NP,,NN,,-,854,,8523,,10206,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191545
OKLAHOMA,2019,15,,NP,,NC,,NP,,NN,51,,420,,3682,,4918,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191546
TEXAS,2019,15,,NP,,NC,,NP,,NN,,-,3289,,,-,44656,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20191547
MOUNTAIN,2019,15,,NP,,NC,,NP,,NN,1240,,2864,,33859,,34587,,,-,1,,,-,1,,,MOUNTAIN,20191548
ARIZONA,2019,15,,NP,,NC,,NP,,NN,449,,958,,11423,,11737,,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191549
COLORADO,2019,15,,NP,,NC,,NP,,NN,647,,949,,8497,,7460,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191550
IDAHO,2019,15,,NP,,NC,,NP,,NN,42,,198,,1973,,1653,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191551
MONTANA,2019,15,,NP,,NC,,NP,,NN,78,,142,,1270,,1498,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191552
NEVADA,2019,15,,NP,,NC,,NP,,NN,,-,439,,3854,,4509,,,-,0,,,-,1,,"NEVADA
(39.283294, -114.916992)",,20191553
NEW MEXICO,2019,15,,NP,,NC,,NP,,NN,23,,323,,3467,,4040,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191554
UTAH,2019,15,,NP,,NC,,NP,,NN,1,,250,,2866,,3037,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191555
WYOMING,2019,15,,NP,,NC,,NP,,NN,,-,63,,509,,653,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191556
PACIFIC,2019,15,,NP,,NC,,NP,,NN,1163,,6295,,76061,,84101,,,-,1,,,-,1,,,PACIFIC,20191557
ALASKA,2019,15,,NP,,NC,,NP,,NN,,-,152,,,-,1849,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191558
CALIFORNIA,2019,15,,NP,,NC,,NP,,NN,317,,5179,,62546,,66915,,,-,0,,,-,1,,"CALIFORNIA
(37.211164, -119.662127)",,20191559
HAWAII,2019,15,,NP,,NC,,NP,,NN,,-,187,,,-,2190,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191560
OREGON,2019,15,,NP,,NC,,NP,,NN,361,,491,,5261,,5806,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191561
WASHINGTON,2019,15,,NP,,NC,,NP,,NN,485,,885,,8254,,7341,,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191562
US TERRITORIES,2019,15,,NP,,NC,,NP,,NN,,-,249,,1409,,1882,,,-,0,,,-,,-,,US TERRITORIES,20191563
AMERICAN SAMOA,2019,15,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191564
NORTHERN MARIANA ISLANDS,2019,15,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191565
GUAM,2019,15,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191566
PUERTO RICO,2019,15,,NP,,NC,,NP,,NN,,-,243,,1409,,1736,,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191567
U.S. VIRGIN ISLANDS,2019,15,,NP,,NC,,NP,,NN,,-,18,,,-,146,,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191568
NON-US RESIDENTS,2019,15,,NP,,NC,,NP,,NN,,-,,NC,1,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191569
TOTAL,2019,15,,NP,,NC,,NP,,NN,9459,,36328,,376399,,497555,,,-,1,,1,,3,,,TOTAL,20191570
MAINE,2019,25,,NP,,NC,,NP,,NN,32,,125,,1834,,2069,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20192504
MASSACHUSETTS,2019,25,,NP,,NC,,NP,,NN,407,,723,,14478,,14149,,,-,1,,1,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192505
NEW HAMPSHIRE,2019,25,,NP,,NC,,NP,,NN,76,,107,,1715,,1851,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192506
RHODE ISLAND,2019,25,,NP,,NC,,NP,,NN,177,,529,,2000,,2387,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192507
VERMONT,2019,25,,NP,,NC,,NP,,NN,,-,50,,541,,839,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192508
MIDDLE ATLANTIC,2019,25,,NP,,NC,,NP,,NN,2911,,4863,,103744,,102626,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192509
NEW JERSEY,2019,25,,NP,,NC,,NP,,NN,472,,949,,18031,,17210,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20192510
NEW YORK,2019,25,,NP,,NC,,NP,,NN,874,,1082,,21752,,22524,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192511
NEW YORK CITY,2019,25,,NP,,NC,,NP,,NN,765,,1706,,35698,,34535,,,-,0,,,-,,-,,NEW YORK CITY,20192512
PENNSYLVANIA,2019,25,,NP,,NC,,NP,,NN,800,,1379,,28263,,28357,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20192513
EAST NORTH CENTRAL,2019,25,,NP,,NC,,NP,,NN,1308,,5661,,100895,,118354,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20192514
ILLINOIS,2019,25,,NP,,NC,,NP,,NN,77,,1702,,20559,,36040,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20192515
US RESIDENTS,2019,28,,NP,,NC,,NP,,NN,11584,,36910,,790706,,926218,,,-,2,,4,,2,,,US RESIDENTS,20192801
NEW ENGLAND,2019,28,,NP,,NC,,NP,,NN,227,,1381,,22141,,31167,,,-,1,,1,,,-,,NEW ENGLAND,20192802
CONNECTICUT,2019,16,,NP,,NC,,NP,,NN,,U,,NC,,U,,U,,U,,NC,,U,,U,"CONNECTICUT
(41.575155, -72.738288)",,20191603
CONNECTICUT,2019,28,,NP,,NC,,NP,,NN,,-,352,,,-,7457,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20192803
MAINE,2019,28,,NP,,NC,,NP,,NN,,-,125,,1972,,2278,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20192804
MASSACHUSETTS,2019,28,,NP,,NC,,NP,,NN,,-,728,,15210,,15787,,,-,1,,1,,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20192805
NEW HAMPSHIRE,2019,28,,NP,,NC,,NP,,NN,62,,107,,1870,,2075,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192806
RHODE ISLAND,2019,28,,NP,,NC,,NP,,NN,165,,529,,2466,,2653,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192807
VERMONT,2019,28,,NP,,NC,,NP,,NN,,-,50,,623,,917,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192808
MIDDLE ATLANTIC,2019,28,,NP,,NC,,NP,,NN,3320,,4865,,115182,,113798,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192809
NEW JERSEY,2019,28,,NP,,NC,,NP,,NN,577,,949,,20435,,19128,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20192810
NEW YORK,2019,28,,NP,,NC,,NP,,NN,895,,1082,,24116,,24892,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192811
NEW YORK CITY,2019,28,,NP,,NC,,NP,,NN,938,,1707,,39401,,38449,,,-,0,,,-,,-,,NEW YORK CITY,20192812
PENNSYLVANIA,2019,28,,NP,,NC,,NP,,NN,910,,1379,,31230,,31329,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20192813
EAST NORTH CENTRAL,2019,28,,NP,,NC,,NP,,NN,1630,,5661,,120013,,132011,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20192814
ILLINOIS,2019,28,,NP,,NC,,NP,,NN,36,,1702,,29070,,40238,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20192815
INDIANA,2019,28,,NP,,NC,,NP,,NN,255,,997,,17455,,17781,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20192816
MICHIGAN,2019,28,,NP,,NC,,NP,,NN,320,,1257,,24571,,26486,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20192817
OHIO,2019,28,,NP,,NC,,NP,,NN,707,,1501,,34050,,33010,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192818
WISCONSIN,2019,28,,NP,,NC,,NP,,NN,312,,640,,14867,,14496,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192819
WEST NORTH CENTRAL,2019,28,,NP,,NC,,NP,,NN,638,,2328,,48895,,53952,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20192820
IOWA,2019,28,,NP,,NC,,NP,,NN,,-,342,,5725,,7511,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192821
KANSAS,2019,28,,NP,,NC,,NP,,NN,,-,339,,7114,,7267,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192822
MINNESOTA,2019,28,,NP,,NC,,NP,,NN,25,,561,,12085,,12277,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192823
MISSOURI,2019,28,,NP,,NC,,NP,,NN,570,,785,,18313,,18181,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192824
NEBRASKA,2019,28,,NP,,NC,,NP,,NN,,-,253,,1619,,4506,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192825
NORTH DAKOTA,2019,28,,NP,,NC,,NP,,NN,,-,98,,1883,,1845,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192826
SOUTH DAKOTA,2019,28,,NP,,NC,,NP,,NN,43,,109,,2156,,2365,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192827
SOUTH ATLANTIC,2019,28,,NP,,NC,,NP,,NN,3079,,8008,,182287,,195008,,,-,2,,2,,1,,,SOUTH ATLANTIC,20192828
DELAWARE,2019,28,,NP,,NC,,NP,,NN,,-,300,,2996,,2812,,,-,2,,2,,,-,"DELAWARE
(38.994926, -75.452394)",,20192829
DISTRICT OF COLUMBIA,2019,28,,NP,,NC,,NP,,NN,56,,212,,4091,,5014,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192830
FLORIDA,2019,28,,NP,,NC,,NP,,NN,1597,,2493,,57493,,54843,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20192831
GEORGIA,2019,28,,NP,,NC,,NP,,NN,375,,1658,,31997,,35188,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192832
MARYLAND,2019,28,,NP,,NC,,NP,,NN,84,,798,,14643,,19129,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20192833
NORTH CAROLINA,2019,28,,NP,,NC,,NP,,NN,,-,1482,,29466,,35357,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20192834
SOUTH CAROLINA,2019,28,,NP,,NC,,NP,,NN,,-,1412,,13507,,17844,,,-,0,,,-,1,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192835
VIRGINIA,2019,28,,NP,,NC,,NP,,NN,844,,1258,,25383,,22897,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192836
WEST VIRGINIA,2019,28,,NP,,NC,,NP,,NN,123,,353,,2711,,1924,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20192837
EAST SOUTH CENTRAL,2019,28,,NP,,NC,,NP,,NN,294,,5951,,53400,,52296,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20192838
ALABAMA,2019,28,,NP,,NC,,NP,,NN,,-,973,,15738,,14302,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192839
KENTUCKY,2019,28,,NP,,NC,,NP,,NN,,-,4788,,7883,,5977,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192840
MISSISSIPPI,2019,28,,NP,,NC,,NP,,NN,21,,554,,10029,,11861,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192841
TENNESSEE,2019,28,,NP,,NC,,NP,,NN,273,,952,,19750,,20156,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192842
AMERICAN SAMOA,2019,16,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191664
NORTHERN MARIANA ISLANDS,2019,16,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191665
GUAM,2019,16,,NP,,NC,,NP,,NN,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191666
ARKANSAS,2019,16,,NP,,NC,,NP,,NN,,-,415,,1506,,5491,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191644
LOUISIANA,2019,16,,NP,,NC,,NP,,NN,219,,856,,9886,,10978,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191645
OKLAHOMA,2019,16,,NP,,NC,,NP,,NN,59,,420,,4090,,5214,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191646
TEXAS,2019,16,,NP,,NC,,NP,,NN,,-,3205,,,-,47792,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20191647
MOUNTAIN,2019,16,,NP,,NC,,NP,,NN,1379,,2866,,36256,,36837,,,-,1,,,-,1,,,MOUNTAIN,20191648
ARIZONA,2019,16,,NP,,NC,,NP,,NN,380,,959,,12167,,12503,,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191649
COLORADO,2019,16,,NP,,NC,,NP,,NN,619,,946,,9122,,7907,,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191650
IDAHO,2019,16,,NP,,NC,,NP,,NN,125,,198,,2208,,1791,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191651
MONTANA,2019,16,,NP,,NC,,NP,,NN,66,,142,,1353,,1573,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191652
NEVADA,2019,16,,NP,,NC,,NP,,NN,,-,439,,3854,,4842,,,-,0,,,-,1,,"NEVADA
(39.283294, -114.916992)",,20191653
NEW MEXICO,2019,16,,NP,,NC,,NP,,NN,13,,325,,3723,,4302,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191654
UTAH,2019,16,,NP,,NC,,NP,,NN,145,,250,,3268,,3228,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191655
WYOMING,2019,16,,NP,,NC,,NP,,NN,31,,63,,561,,691,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191656
PACIFIC,2019,16,,NP,,NC,,NP,,NN,1153,,6295,,81627,,89564,,,-,1,,,-,1,,,PACIFIC,20191657
ALASKA,2019,16,,NP,,NC,,NP,,NN,,-,152,,,-,1965,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191658
CALIFORNIA,2019,16,,NP,,NC,,NP,,NN,357,,5195,,67332,,71233,,,-,0,,,-,1,,"CALIFORNIA
(37.211164, -119.662127)",,20191659
HAWAII,2019,16,,NP,,NC,,NP,,NN,,-,187,,,-,2315,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191660
US TERRITORIES,2019,16,,NP,,NC,,NP,,NN,31,,249,,1680,,1967,,,-,0,,,-,,-,,US TERRITORIES,20191663
INDIANA,2019,25,,NP,,NC,,NP,,NN,,-,997,,14507,,15975,,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20192516
MICHIGAN,2019,25,,NP,,NC,,NP,,NN,309,,1257,,22056,,23772,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20192517
OHIO,2019,25,,NP,,NC,,NP,,NN,622,,1497,,30478,,29589,,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20192518
WISCONSIN,2019,25,,NP,,NC,,NP,,NN,300,,640,,13295,,12978,,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20192519
WEST NORTH CENTRAL,2019,25,,NP,,NC,,NP,,NN,683,,2328,,43468,,48337,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20192520
IOWA,2019,25,,NP,,NC,,NP,,NN,57,,342,,5430,,6747,,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192521
KANSAS,2019,25,,NP,,NC,,NP,,NN,120,,339,,6608,,6499,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192522
MINNESOTA,2019,25,,NP,,NC,,NP,,NN,10,,561,,9669,,10993,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192523
MISSOURI,2019,25,,NP,,NC,,NP,,NN,440,,786,,16507,,16220,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192524
NEBRASKA,2019,25,,NP,,NC,,NP,,NN,,-,253,,1619,,4102,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20192525
NORTH DAKOTA,2019,25,,NP,,NC,,NP,,NN,16,,98,,1709,,1636,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192526
SOUTH DAKOTA,2019,25,,NP,,NC,,NP,,NN,40,,109,,1926,,2140,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192527
