"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,New York,2014,41,1020,0.98,0,0,4,3,0,3,0
States,Colorado,2014,42,250,1.6,0,0,1,0,0,3,0
States,New York,2014,42,1098,1.46,0,0,11,2,0,3,0
States,Colorado,2014,43,194,3.09,0,0,4,1,0,1,0
States,New York,2014,43,1085,0.55,0,0,4,1,0,1,0
States,Colorado,2014,44,194,4.12,0,0,8,0,0,0,0
States,New York,2014,44,1024,0.68,0,0,0,2,0,5,0
States,Colorado,2014,45,204,14.71,0,0,29,1,0,0,0
States,New York,2014,45,1098,1.09,0,0,4,5,0,3,0
States,Colorado,2014,46,250,17.6,0,0,41,3,0,0,0
States,New York,2014,46,1142,1.31,0,0,6,6,0,3,0
States,Colorado,2014,47,368,23.64,0,0,79,8,0,0,0
States,New York,2014,47,1160,1.21,0,0,8,6,0,0,0
States,Colorado,2014,48,415,35.9,2,0,91,54,0,2,0
States,New York,2014,48,1103,2.54,0,0,12,14,0,2,0
States,Colorado,2014,49,710,42.11,0,0,159,135,0,5,0
States,New York,2014,49,1368,8.33,2,0,43,68,0,1,0
States,Colorado,2014,50,1006,47.32,1,0,205,265,0,5,0
States,New York,2014,50,1684,13.18,0,0,74,142,0,6,0
States,Colorado,2014,51,1479,47.46,2,0,238,455,0,7,0
States,New York,2014,51,2355,19.28,1,0,173,278,0,2,0
States,Colorado,2014,52,1342,45.83,5,0,241,366,0,3,0
States,New York,2014,52,2795,29.48,1,0,346,470,0,7,0
States,Colorado,2014,53,1183,39.64,4,0,217,238,0,10,0
States,New York,2014,53,3200,26.28,0,0,334,500,0,7,0
States,Colorado,2015,1,857,26.84,1,0,113,109,0,7,0
States,New York,2015,1,3509,21.35,2,0,308,429,0,10,0
States,Colorado,2015,2,661,16.04,1,0,38,53,0,14,0
States,New York,2015,2,3125,23.3,3,0,313,392,0,20,0
States,Colorado,2015,3,601,12.98,1,0,19,46,0,12,0
States,New York,2015,3,3252,27.34,0,0,423,451,0,15,0
States,Colorado,2015,4,645,9.92,0,0,10,21,0,33,0
States,New York,2015,4,3022,24.98,2,0,352,383,0,18,0
States,Colorado,2015,5,612,11.44,0,0,3,16,0,51,0
States,New York,2015,5,2918,23.34,1,0,299,342,0,39,0
States,Colorado,2015,6,624,11.7,1,0,5,7,0,60,0
States,New York,2015,6,2659,18.95,1,0,211,243,0,49,0
States,Colorado,2015,7,580,14.66,0,0,6,12,0,67,0
States,New York,2015,7,2296,18.21,3,0,180,181,0,54,0
States,Colorado,2015,8,589,15.96,0,0,1,8,0,85,0
States,New York,2015,8,2150,13.49,3,0,108,129,0,50,0
States,Colorado,2015,9,577,15.6,0,0,2,2,0,86,0
States,New York,2015,9,1887,13.73,1,0,93,90,0,75,0
States,Colorado,2015,10,510,17.65,0,0,1,4,0,85,0
States,New York,2015,10,1941,12.78,0,0,57,67,0,124,0
States,Colorado,2015,11,457,12.04,0,0,0,2,0,53,0
States,New York,2015,11,1899,14.01,1,0,33,61,0,171,0
States,Colorado,2015,12,427,11.24,0,0,0,1,0,47,0
States,New York,2015,12,1948,13.91,0,0,20,36,0,215,0
States,Colorado,2015,13,347,8.07,0,0,1,1,0,26,0
States,New York,2015,13,1699,14.89,0,0,26,22,0,205,0
States,Colorado,2015,14,316,6.65,0,0,0,3,0,18,0
States,New York,2015,14,1704,11.5,1,0,7,10,0,178,0
States,Colorado,2015,15,313,7.35,0,0,0,1,0,22,0
States,New York,2015,15,1594,9.97,1,0,6,11,0,141,0
States,Colorado,2015,16,275,3.64,0,0,2,1,0,7,0
States,New York,2015,16,1346,6.17,0,0,2,1,0,80,0
States,Colorado,2015,17,236,3.81,0,0,0,0,0,9,0
States,New York,2015,17,1284,4.98,1,0,8,3,0,52,0
States,Colorado,2015,18,202,2.97,0,0,0,0,0,6,0
States,New York,2015,18,1131,2.39,1,0,4,0,0,22,0
States,Colorado,2015,19,256,1.56,0,0,0,0,0,4,0
States,New York,2015,19,1026,2.63,0,0,2,2,0,23,0
States,Colorado,2015,20,213,0,0,0,0,0,0,0,0
States,New York,2015,20,903,1.88,0,0,2,0,0,15,0
States,Colorado,2015,21,192,0,0,0,0,0,0,0,0
States,New York,2015,21,857,1.28,1,0,2,2,0,6,0
States,Colorado,2015,22,202,0,0,0,0,0,0,0,0
States,New York,2015,22,719,0.83,0,0,1,1,0,4,0
States,Colorado,2015,23,151,0.66,0,0,0,0,0,1,0
States,New York,2015,23,838,0.6,0,0,3,1,0,1,0
States,Colorado,2015,24,142,0,0,0,0,0,0,0,0
States,New York,2015,24,770,0.39,2,0,1,0,0,0,0
States,Colorado,2015,25,143,0,0,0,0,0,0,0,0
States,New York,2015,25,708,0.28,0,0,2,0,0,0,0
States,Colorado,2015,26,125,0,0,0,0,0,0,0,0
States,New York,2015,26,639,0.16,0,0,1,0,0,0,0
States,Colorado,2015,27,137,0,0,0,0,0,0,0,0
States,New York,2015,27,710,0.56,0,0,3,1,0,0,0
States,Colorado,2015,28,142,0.7,0,0,0,1,0,0,0
States,New York,2015,28,667,0.15,0,0,0,0,0,1,0
States,Colorado,2015,29,177,0.56,0,0,0,1,0,0,0
States,New York,2015,29,618,0.32,0,0,2,0,0,0,0
States,Colorado,2015,30,115,0.87,0,0,0,1,0,0,0
States,New York,2015,30,621,0.64,0,0,3,1,0,0,0
States,Colorado,2015,31,126,0,0,0,0,0,0,0,0
States,New York,2015,31,637,1.26,1,0,5,2,0,0,0
States,Colorado,2015,32,120,0,0,0,0,0,0,0,0
States,New York,2015,32,597,1.01,1,0,2,3,0,0,0
States,Colorado,2015,33,160,0.63,0,0,0,1,0,0,0
States,New York,2015,33,648,0.46,1,0,2,0,0,0,0
States,Colorado,2015,34,148,0.68,0,0,0,0,0,1,0
States,New York,2015,34,643,0.47,0,0,3,0,0,0,0
States,Colorado,2015,35,164,0.61,1,0,0,0,0,0,0
States,New York,2015,35,578,1.04,0,0,4,2,0,0,0
States,Colorado,2015,36,172,1.74,0,0,3,0,0,0,0
States,New York,2015,36,603,1,0,0,3,1,0,2,0
States,Colorado,2015,37,183,0.55,0,0,1,0,0,0,0
States,New York,2015,37,733,0.68,0,0,4,1,0,0,0
States,Colorado,2015,38,167,0,0,0,0,0,0,0,0
States,New York,2015,38,914,0.22,0,0,2,0,0,0,0
States,Colorado,2015,39,200,1,0,0,2,0,0,0,0
States,New York,2015,39,998,0.6,2,0,3,1,0,0,0
