REGION,YEAR,WEEK,"Hepatitis B, perinatal infection, Current week","Hepatitis B, perinatal infection, Current week, flag","Hepatitis B, perinatal infection, Previous 52 weeks Max† ","Hepatitis B, perinatal infection, Previous 52 weeks Max† , flag","Hepatitis B, perinatal infection, Cum 2019†","Hepatitis B, perinatal infection, Cum 2019†, flag","Hepatitis B, perinatal infection, Cum 2018†","Hepatitis B, perinatal infection, Cum 2018†, flag","Hepatitis C (viral, acute)§, Confirmed, Current week","Hepatitis C (viral, acute)§, Confirmed, Current week, flag","Hepatitis C (viral, acute), Confirmed, Previous 52 weeks Max","Hepatitis C (viral, acute)§, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†","Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, flag","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†","Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag","Hepatitis C (viral, acute)§,  Probable, Current week","Hepatitis C (viral, acute)§, Probable, Current week, flag","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† ","Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , flag","Hepatitis C (viral, acute)§, Probable, Cum 2019†","Hepatitis C (viral, acute)§, Probable, Cum 2019†, flag","Hepatitis C (viral, acute)§, Probable, Cum 2018†","Hepatitis C (viral, acute)§, Probable, Cum 2018†, flag",Location 1,Location 2,,,,
US RESIDENTS,2019,1,,-,2,,,-,,-,2,,94,,2,,62,,,-,52,,,NP,8,,,US RESIDENTS,,,,
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,8,,,-,5,,,-,4,,,NP,,-,,NEW ENGLAND,,,,
MIDDDLE ATLANTIC,2019,1,,-,1,,,-,,-,,-,17,,,-,7,,,-,2,,,NP,,-,,MIDDDLE ATLANTIC,,,,
NEW YORK CITY,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,,NEW YORK CITY,,,,
EAST NORTH CENTRAL,2019,1,,-,1,,,-,,-,,-,25,,,-,12,,,-,15,,,NP,,-,,EAST NORTH CENTRAL,,,,
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,,-,8,,,-,7,,,-,1,,,NP,,-,,WEST NORTH CENTRAL,,,,
SOUTH ATLANTIC,2019,1,,-,2,,,-,,-,,-,47,,,-,13,,,-,37,,,NP,,-,,SOUTH ATLANTIC,,,,
EAST SOUTH CENTRAL,2019,1,,-,1,,,-,,-,1,,24,,1,,7,,,-,11,,,NP,4,,,EAST SOUTH CENTRAL,,,,
WEST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,3,,,NP,,-,,WEST SOUTH CENTRAL,,,,
MOUNTAIN,2019,1,,-,1,,,-,,-,1,,8,,1,,7,,,-,5,,,NP,3,,,MOUNTAIN,,,,
PACIFIC,2019,1,,-,1,,,-,,-,,-,13,,,-,3,,,-,3,,,NP,1,,,PACIFIC,,,,
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,US TERRITORIES,,,,
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,AMERICAN SAMOA,,,,
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,NON-US RESIDENTS,,,,
TOTAL,2019,1,,-,2,,,-,,-,2,,94,,2,,62,,,-,52,,,NP,8,,,TOTAL,,,,
MICHIGAN,2019,1,,-,1,,,-,,-,,-,6,,,-,2,,,-,3,,,NP,,-,"MICHIGAN
(44.66399, -84.711206)",,,,,
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,NP,,-,"NEW MEXICO
(34.520396, -106.244402)",,,,,
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"PUERTO RICO
(18.215692, -66.414655)",,,,,
PENNSYLVANIA,2019,1,,-,1,,,-,,-,,-,8,,,-,6,,,-,2,,,NP,,-,"PENNSYLVANIA
(40.789676, -77.858055)",,,,,
NORTH CAROLINA,2019,1,,-,0,,,-,,-,,-,7,,,-,1,,,-,4,,,NP,,-,"NORTH CAROLINA
(35.47995, -79.180571)",,,,,
OHIO,2019,1,,-,1,,,-,,-,,-,9,,,-,6,,,-,11,,,NP,,-,"OHIO
(40.056807, -82.405897)",,,,,
ARKANSAS,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,NP,,-,"ARKANSAS
(34.748745, -92.275105)",,,,,
OKLAHOMA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"OKLAHOMA
(35.468494, -97.521264)",,,,,
GEORGIA,2019,1,,-,1,,,-,,-,,-,5,,,-,5,,,-,4,,,NP,,-,"GEORGIA
(32.836038, -83.631709)",,,,,
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,NP,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,,,,
TENNESSEE,2019,1,,-,1,,,-,,-,,-,10,,,-,4,,,-,3,,,NP,3,,"TENNESSEE
(35.681402, -85.774444)",,,,,
WISCONSIN,2019,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,1,,,NP,,-,"WISCONSIN
(44.395526, -89.834513)",,,,,
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"GUAM
(13.3532, 144.653198)",,,,,
MONTANA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"MONTANA
(47.062617, -109.430168)",,,,,
DELAWARE,2019,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,NP,,-,"DELAWARE
(39.008676, -75.574561)",,,,,
UTAH,2019,1,,-,0,,,-,,-,,-,5,,,-,4,,,-,4,,,NP,3,,"UTAH
(39.359772, -111.584173)",,,,,
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",,,,,
IDAHO,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"IDAHO
(43.680635, -114.364237)",,,,,
INDIANA,2019,1,,-,0,,,-,,-,,-,9,,,-,3,,,-,5,,,NP,,-,"INDIANA
(39.76845, -86.156212)",,,,,
ALABAMA,2019,1,,-,0,,,-,,-,1,,15,,1,,1,,,-,6,,,NP,,-,"ALABAMA
(32.839182, -86.631125)",,,,,
ALASKA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ALASKA
(64.836661, -147.738891)",,,,,
OREGON,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,NP,,-,"OREGON
(44.567912, -120.156945)",,,,,
NEVADA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"NEVADA
(39.491833, -117.070159)",,,,,
IOWA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"IOWA
(42.46942, -93.815856)",,,,,
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"RHODE ISLAND
(41.707447, -71.522488)",,,,,
SOUTH DAKOTA,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,,-,0,,,NP,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",,,,,
MARYLAND,2019,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,1,,,NP,,-,"MARYLAND
(39.290443, -76.612333)",,,,,
VIRGINIA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,4,,,NP,,-,"VIRGINIA
(37.542699, -78.45822)",,,,,
HAWAII,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"HAWAII
(21.30992, -157.858158)",,,,,
KANSAS,2019,1,,-,0,,,-,,-,,-,2,,,-,1,,,-,1,,,NP,,-,"KANSAS
(38.345528, -98.201847)",,,,,
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,-,5,,,-,4,,,-,2,,,NP,,-,"MASSACHUSETTS
(42.268546, -72.085064)",,,,,
NEBRASKA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"NEBRASKA
(41.640503, -99.367122)",,,,,
CONNECTICUT,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"CONNECTICUT
(41.544654, -72.651713)",,,,,
WASHINGTON,2019,1,,-,0,,,-,,-,,-,8,,,-,,-,,-,2,,,NP,,-,"WASHINGTON
(47.517368, -120.467672)",,,,,
LOUISIANA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"LOUISIANA
(31.2931, -92.463284)",,,,,
TEXAS,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,,-,3,,,NP,,-,"TEXAS
(31.827233, -99.423022)",,,,,
WYOMING,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"WYOMING
(43.23558, -108.110518)",,,,,
DISTRICT OF COLUMBIA,2019,1,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,NP,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",,,,,
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,NP,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",,,,,
CALIFORNIA,2019,1,,-,1,,,-,,-,,-,7,,,-,3,,,-,2,,,NP,1,,"CALIFORNIA
(37.640735, -121.002435)",,,,,
MISSOURI,2019,1,,-,0,,,-,,-,,-,5,,,-,1,,,-,0,,,NP,,-,"MISSOURI
(38.636168, -92.566292)",,,,,
FLORIDA,2019,1,,-,1,,,-,,-,,-,43,,,-,6,,,-,4,,,NP,,-,"FLORIDA
(28.915325, -81.922409)",,,,,
VERMONT,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"VERMONT
(43.622479, -72.51927)",,,,,
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,,,,
ILLINOIS,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"ILLINOIS
(40.477092, -88.993221)",,,,,
KENTUCKY,2019,1,,-,0,,,-,,-,,-,8,,,-,2,,,-,7,,,NP,1,,"KENTUCKY
(37.64591, -84.774043)",,,,,
NEW YORK,2019,1,,-,0,,,-,,-,,-,9,,,-,,-,,-,1,,,NP,,-,"NEW YORK
(42.826892, -75.544286)",,,,,
NEW JERSEY,2019,1,,-,0,,,-,,-,,-,6,,,-,1,,,-,2,,,NP,,-,"NEW JERSEY
(40.104655, -74.386686)",,,,,
COLORADO,2019,1,,-,0,,,-,,-,1,,3,,1,,2,,,-,2,,,NP,,-,"COLORADO
(38.841772, -106.132562)",,,,,
ARIZONA,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ARIZONA
(34.869712, -111.760902)",,,,,
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"MISSISSIPPI
(32.738663, -89.537312)",,,,,
MINNESOTA,2019,1,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,NP,,-,"MINNESOTA
(46.357661, -94.793397)",,,,,
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"NORTH DAKOTA
(47.475879, -100.121011)",,,,,
MAINE,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,2,,,NP,,-,"MAINE
(45.252223, -68.986647)",,,,,
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,12,,,-,,-,,-,31,,,NP,,-,"WEST VIRGINIA
(38.668501, -80.709421)",,,,,
MONTANA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"MONTANA
(47.062617, -109.430168)",,,,,
WISCONSIN,2019,2,,-,0,,,-,,-,,-,6,,,-,1,,,-,1,,,NP,,-,"WISCONSIN
(44.395526, -89.834513)",,,,,
MAINE,2019,2,,-,0,,,-,,-,1,,3,,1,,1,,,-,2,,,NP,,-,"MAINE
(45.252223, -68.986647)",,,,,
ARIZONA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ARIZONA
(34.869712, -111.760902)",,,,,
EAST NORTH CENTRAL,2019,2,,-,1,,,-,,-,,-,25,,,-,26,,,-,15,,,NP,3,,,,,,,
OREGON,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,NP,,-,"OREGON
(44.567912, -120.156945)",,,,,
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,,,,,
CONNECTICUT,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"CONNECTICUT
(41.544654, -72.651713)",,,,,
NEW ENGLAND,2019,2,,-,0,,,-,,-,1,,8,,1,,8,,,-,4,,,NP,,-,,,,,,
NEVADA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,NP,,-,"NEVADA
(39.491833, -117.070159)",,,,,
HAWAII,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"HAWAII
(21.30992, -157.858158)",,,,,
TEXAS,2019,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,3,,,NP,,-,"TEXAS
(31.827233, -99.423022)",,,,,
WYOMING,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"WYOMING
(43.23558, -108.110518)",,,,,
PACIFIC,2019,2,,-,1,,,-,1,,,-,12,,,-,6,,,-,3,,,NP,2,,,,,,,
NEBRASKA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"NEBRASKA
(41.640503, -99.367122)",,,,,
IDAHO,2019,2,,-,0,,,-,,-,1,,1,,1,,,-,,-,1,,,NP,,-,"IDAHO
(43.680635, -114.364237)",,,,,
INDIANA,2019,2,,-,0,,,-,,-,,-,9,,,-,6,,,-,5,,,NP,,-,"INDIANA
(39.76845, -86.156212)",,,,,
CALIFORNIA,2019,2,,-,1,,,-,1,,,-,6,,,-,6,,,-,2,,,NP,2,,"CALIFORNIA
(37.640735, -121.002435)",,,,,
US RESIDENTS,2019,2,1,,2,,1,,1,,3,,94,,8,,114,,,-,53,,,NP,22,,,,,,,
VERMONT,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"VERMONT
(43.622479, -72.51927)",,,,,
SOUTH ATLANTIC,2019,2,,-,2,,,-,,-,,-,46,,1,,28,,,-,38,,,NP,3,,,,,,,
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,NP,,NP,,,,,,
KANSAS,2019,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,1,,,NP,,-,"KANSAS
(38.345528, -98.201847)",,,,,
ALASKA,2019,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ALASKA
(64.836661, -147.738891)",,,,,
WEST SOUTH CENTRAL,2019,2,,-,0,,,-,,-,,-,6,,,-,1,,,-,4,,,NP,1,,,,,,,
MISSOURI,2019,2,,-,0,,,-,,-,,-,5,,1,,1,,,-,0,,,NP,,-,"MISSOURI
(38.636168, -92.566292)",,,,,
MISSISSIPPI,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"MISSISSIPPI
(32.738663, -89.537312)",,,,,
UTAH,2019,2,,-,0,,,-,,-,,-,5,,,-,5,,,-,4,,,NP,3,,"UTAH
(39.359772, -111.584173)",,,,,
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,,,,
TOTAL,2019,2,1,,2,,1,,1,,3,,94,,8,,114,,,-,53,,,NP,22,,,,,,,
NEW YORK CITY,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,,,,,,
COLORADO,2019,2,,-,0,,,-,,-,,-,3,,1,,3,,,-,2,,,NP,2,,"COLORADO
(38.841772, -106.132562)",,,,,
EAST SOUTH CENTRAL,2019,2,,-,1,,,-,,-,1,,24,,3,,15,,,-,11,,,NP,6,,,,,,,
DISTRICT OF COLUMBIA,2019,2,,U,,NC,,U,,U,,-,0,,,-,,-,,-,0,,,NP,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",,,,,
MINNESOTA,2019,2,,-,0,,,-,,-,,-,3,,,-,3,,,-,0,,,NP,,-,"MINNESOTA
(46.357661, -94.793397)",,,,,
WASHINGTON,2019,2,,-,0,,,-,,-,,-,8,,,-,,-,,-,2,,,NP,,-,"WASHINGTON
(47.517368, -120.467672)",,,,,
PENNSYLVANIA,2019,2,1,,1,,1,,,-,,-,8,,,-,11,,,-,2,,,NP,,-,"PENNSYLVANIA
(40.789676, -77.858055)",,,,,
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,,,,,
OKLAHOMA,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,,-,"OKLAHOMA
(35.468494, -97.521264)",,,,,
FLORIDA,2019,2,,-,1,,,-,,-,,-,42,,,-,15,,,-,4,,,NP,1,,"FLORIDA
(28.915325, -81.922409)",,,,,
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"GUAM
(13.3532, 144.653198)",,,,,
MASSACHUSETTS,2019,2,,-,0,,,-,,-,,-,5,,,-,6,,,-,2,,,NP,,-,"MASSACHUSETTS
(42.268546, -72.085064)",,,,,
LOUISIANA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,1,,"LOUISIANA
(31.2931, -92.463284)",,,,,
TENNESSEE,2019,2,,-,1,,,-,,-,,-,10,,1,,7,,,-,3,,,NP,5,,"TENNESSEE
(35.681402, -85.774444)",,,,,
NORTH DAKOTA,2019,2,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"NORTH DAKOTA
(47.475879, -100.121011)",,,,,
NEW HAMPSHIRE,2019,2,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,NP,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",,,,,
KENTUCKY,2019,2,,-,0,,,-,,-,,-,8,,,-,5,,,-,7,,,NP,1,,"KENTUCKY
(37.64591, -84.774043)",,,,,
OHIO,2019,2,,-,1,,,-,,-,,-,9,,,-,15,,,-,11,,,NP,,-,"OHIO
(40.056807, -82.405897)",,,,,
MARYLAND,2019,2,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"MARYLAND
(39.290443, -76.612333)",,,,,
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"RHODE ISLAND
(41.707447, -71.522488)",,,,,
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,,,,
MICHIGAN,2019,2,,-,1,,,-,,-,,-,6,,,-,4,,,-,3,,,NP,2,,"MICHIGAN
(44.66399, -84.711206)",,,,,
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",,,,,
WEST NORTH CENTRAL,2019,2,,-,0,,,-,,-,,-,8,,1,,8,,,-,1,,,NP,,-,,,,,,
ALABAMA,2019,2,,-,0,,,-,,-,1,,15,,2,,3,,,-,7,,,NP,,-,"ALABAMA
(32.839182, -86.631125)",,,,,
IOWA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"IOWA
(42.46942, -93.815856)",,,,,
DELAWARE,2019,2,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,NP,,-,"DELAWARE
(39.008676, -75.574561)",,,,,
VIRGINIA,2019,2,,-,0,,,-,,-,,-,2,,,-,1,,,-,4,,,NP,,-,"VIRGINIA
(37.542699, -78.45822)",,,,,
SOUTH DAKOTA,2019,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,0,,,NP,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",,,,,
NORTH CAROLINA,2019,2,,-,0,,,-,,-,,-,7,,,-,2,,,-,3,,,NP,2,,"NORTH CAROLINA
(35.47995, -79.180571)",,,,,
NEW MEXICO,2019,2,,-,0,,,-,,-,,-,3,,,-,1,,,-,2,,,NP,,-,"NEW MEXICO
(34.520396, -106.244402)",,,,,
ARKANSAS,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"ARKANSAS
(34.748745, -92.275105)",,,,,
ILLINOIS,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,NP,1,,"ILLINOIS
(40.477092, -88.993221)",,,,,
NEW JERSEY,2019,2,,-,0,,,-,,-,,-,6,,,-,1,,,-,2,,,NP,2,,"NEW JERSEY
(40.104655, -74.386686)",,,,,
NEW YORK,2019,2,,-,0,,,-,,-,,-,9,,,-,1,,,-,2,,,NP,,-,"NEW YORK
(42.826892, -75.544286)",,,,,
MIDDDLE ATLANTIC,2019,2,1,,1,,1,,,-,,-,17,,,-,13,,,-,3,,,NP,2,,,,,,,
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,12,,,-,1,,,-,31,,,NP,,-,"WEST VIRGINIA
(38.668501, -80.709421)",,,,,
MOUNTAIN,2019,2,,-,1,,,-,,-,1,,8,,2,,9,,,-,6,,,NP,5,,,,,,,
GEORGIA,2019,2,,-,1,,,-,,-,,-,5,,1,,7,,,-,4,,,NP,,-,"GEORGIA
(32.836038, -83.631709)",,,,,
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"PUERTO RICO
(18.215692, -66.414655)",,,,,
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,,,,
KENTUCKY,2019,3,,-,0,,,-,,-,,-,8,,,-,7,,,-,7,,,NP,1,,"KENTUCKY
(37.64591, -84.774043)",,,,,
PACIFIC,2019,3,,-,1,,,-,1,,1,,12,,3,,9,,,-,4,,,NP,2,,,PACIFIC,,,,
MAINE,2019,3,,-,0,,,-,,-,,-,3,,1,,1,,,-,2,,,NP,,-,"MAINE
(45.252223, -68.986647)",,,,,
HAWAII,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"HAWAII
(21.30992, -157.858158)",,,,,
NEVADA,2019,3,,-,0,,,-,,-,,-,2,,,-,1,,,-,2,,,NP,,-,"NEVADA
(39.491833, -117.070159)",,,,,
TENNESSEE,2019,3,,-,1,,,-,,-,1,,10,,2,,8,,,-,3,,,NP,7,,"TENNESSEE
(35.681402, -85.774444)",,,,,
CALIFORNIA,2019,3,,-,1,,,-,1,,,-,6,,2,,8,,,-,2,,,NP,2,,"CALIFORNIA
(37.640735, -121.002435)",,,,,
RHODE ISLAND,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"RHODE ISLAND
(41.707447, -71.522488)",,,,,
MISSOURI,2019,3,,-,0,,,-,,-,,-,5,,2,,3,,,-,0,,,NP,,-,"MISSOURI
(38.636168, -92.566292)",,,,,
WASHINGTON,2019,3,,-,0,,,-,,-,,-,8,,,-,1,,,-,2,,,NP,,-,"WASHINGTON
(47.517368, -120.467672)",,,,,
KANSAS,2019,3,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"KANSAS
(38.345528, -98.201847)",,,,,
OHIO,2019,3,,-,1,,,-,,-,1,,10,,2,,21,,,-,11,,,NP,2,,"OHIO
(40.056807, -82.405897)",,,,,
NORTH DAKOTA,2019,3,,-,0,,,-,,-,,-,2,,,-,2,,,-,1,,,NP,,-,"NORTH DAKOTA
(47.475879, -100.121011)",,,,,
IDAHO,2019,3,,-,0,,,-,,-,,-,1,,1,,,-,,-,1,,,NP,,-,"IDAHO
(43.680635, -114.364237)",,,,,
NORTH CAROLINA,2019,3,,-,0,,,-,,-,,-,7,,,-,5,,,-,3,,,NP,2,,"NORTH CAROLINA
(35.47995, -79.180571)",,,,,
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"GUAM
(13.3532, 144.653198)",,,,,
ALASKA,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"ALASKA
(64.836661, -147.738891)",,,,,
CONNECTICUT,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,NP,,-,"CONNECTICUT
(41.544654, -72.651713)",,,,,
IOWA,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"IOWA
(42.46942, -93.815856)",,,,,
NEW ENGLAND,2019,3,,-,0,,,-,,-,,-,8,,1,,12,,,-,4,,,NP,,-,,NEW ENGLAND,,,,
US RESIDENTS,2019,3,,-,2,,1,,1,,7,,95,,20,,175,,,-,54,,,NP,31,,,US RESIDENTS,,,,
NEBRASKA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,,-,"NEBRASKA
(41.640503, -99.367122)",,,,,
LOUISIANA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,NP,1,,"LOUISIANA
(31.2931, -92.463284)",,,,,
NEW HAMPSHIRE,2019,3,,-,0,,,-,,-,,-,4,,,-,1,,,-,2,,,NP,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",,,,,
SOUTH DAKOTA,2019,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,0,,,NP,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",,,,,
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,AMERICAN SAMOA,,,,
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,,US TERRITORIES,,,,
WYOMING,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,NP,,-,"WYOMING
(43.23558, -108.110518)",,,,,
NEW YORK,2019,3,,-,0,,,-,,-,1,,11,,1,,3,,,-,2,,,NP,,-,"NEW YORK
(42.826892, -75.544286)",,,,,
UTAH,2019,3,,-,0,,,-,,-,,-,5,,,-,7,,,-,4,,,NP,3,,"UTAH
(39.359772, -111.584173)",,,,,
ARKANSAS,2019,3,,-,0,,,-,,-,1,,2,,1,,,-,,-,0,,,NP,,-,"ARKANSAS
(34.748745, -92.275105)",,,,,
PENNSYLVANIA,2019,3,,-,1,,1,,,-,,-,8,,,-,16,,,-,1,,,NP,,-,"PENNSYLVANIA
(40.789676, -77.858055)",,,,,
INDIANA,2019,3,,-,0,,,-,,-,,-,9,,,-,8,,,-,5,,,NP,,-,"INDIANA
(39.76845, -86.156212)",,,,,
MISSISSIPPI,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,NP,,-,"MISSISSIPPI
(32.738663, -89.537312)",,,,,
FLORIDA,2019,3,,-,1,,,-,,-,,-,42,,,-,21,,,-,4,,,NP,1,,"FLORIDA
(28.915325, -81.922409)",,,,,
MIDDDLE ATLANTIC,2019,3,,-,1,,1,,,-,1,,17,,1,,23,,,-,3,,,NP,2,,,MIDDDLE ATLANTIC,,,,
